i,j,Aij,Bij,Cij,Aji,Bji,Cji
13,30,513.7, , ,-299.6, , 
13,32,-104.8, , ,464, , 
13,34,-137.87, , ,169.27, , 
13,37,-422.7,2.23, ,-326.4,0.24, 
13,38,155.7,-1.578, ,-528.8,2.822, 
13,42,397,-1.379, ,-214.1,1.134, 
13,43,-124.33,-0.29398, ,561.14,-0.7058, 
13,44,-454.92, , ,310.75, , 
13,45,-515.93,0.3835, ,1368,-2.6254, 
13,48,1321.52, , ,-361.25, , 
13,49,3858.07,-9.278001,0.000007,-224.782,-0.410609,-0.000004
13,56,-209.209,-0.470423,0.006918,1163.91,-7.1332,0.00839
13,93,-584.728, , ,178.501, , 
14,15,1517,-12.72,0.02557,-1074,9,-0.01795
14,16,-472.4,-0.2051,0.01058,836.6,-5.208,0.004801
14,19,-412.38,-0.49092,0.0062553,2412.2,-10.495,0.0097411
14,24,-65.76,-0.3148, ,333.9,-0.1415, 
14,25,2553,-11.9, ,3873,-9.315001, 
14,29,-205.1, , ,244.4, , 
14,39,162.14, , ,-112.76, , 
14,42,124.3,-1.147, ,621.9,0.258, 
14,43,-143.07, , ,182.58, , 
14,47,413.11, , ,-293.93, , 
14,56,190.882, , ,14.9127, , 
15,16,402.6,-1.614, ,-639.9,2.561, 
15,19,242.2, , ,-131.9, , 
15,24,-3.28, , ,43.83, , 
15,25,3888,-16.26, ,-868.8,2.948, 
15,38,-330.2, , ,904.1, , 
15,39,-88.49, , ,-230.55, , 
15,42,-131.9,-0.007369, ,1248,-2.79, 
15,43,-186.98, , ,295.07, , 
15,47,444.67,0.8351, ,-196.23,-0.0511, 
15,56,1178.79,-9.99911,0.020758,1667.89,-7.58704,0.008006
16,22,-473,0.8883, ,406.8,-1.524, 
16,24,215.9,-1.399, ,-825.9,3.15, 
16,25,1622,-4.812,-0.01856,-94.87,-9.612,0.03722
16,38,-7.532001,-0.8077, ,35.16,0.09722999, 
16,39,965, , ,-311.9, , 
16,42,324.15,-1.4264, ,-198.32,1.452, 
16,45,-420.24,0.26315, ,-1035.8,3.078, 
16,47,-729.5,6.2811, ,-66.61,-0.696, 
16,48,2111.24, , ,-235.61, , 
16,56,2662.02,-13.9855,0.017738,-1780.41,5.71975,-0.00165
17,18,74.285,14.613,-0.0283,-558.39,1.2436,-0.0007
17,19,393.9,-4.703,0.009003,2987,-9.336,0.007147
17,21,582.1,-2.33,0.000377,-338,3.372,-0.003676
17,24,3986,-16.15,0.01635,2626,-10.59,0.01466
17,25,3709.2, , ,1583.8, , 
17,27,3770,1.686, ,1.655,-1.164, 
17,31,1268,-3.042, ,-818.8,3.229, 
17,39,-391.9, , ,650.7, , 
17,42,1371,-3.323, ,1091,-0.2657, 
17,47,1271.42,-6.4373,0.006451,-2476.18,10.9894,-0.009617
18,19,746.12,-2.1937, ,-2307.8,5.8186, 
18,20,-451.49,-0.4031, ,-2617.7,4.614, 
18,21,-67.106,-0.4933, ,-1592.8,2.8397, 
18,22,-978.25,2.1884, ,946.79,-4.9886, 
18,24,229.66,-1.5005, ,-2111,6.3625, 
18,33,-713.65,1.9191, ,-763.19,0.603, 
18,38,197.95,-0.3316,-0.0004,-1052.5,1.6854,0.0027
18,42,268.23,-1.4137, ,-5894.1,13.088, 
18,43,-250.25,0.3811, ,-1269.7,2.6335, 
18,45,-516.31,1.6943, ,-1646.8,2.7237, 
18,47,489.93,-0.5591,-0.00102,-2250.64,5.4638,-0.00015
18,52,-674,1.8854, ,4998.6,1.1962, 
19,21,176.5,-1.237, ,-368.7,1.992, 
19,22,-78.96, , ,14.76, , 
19,24,65.82,-0.6265, ,357.6,0.7676, 
19,25,1283,3.361,-0.02978,2331,-9.238001,0.01158
19,26,117.53,-0.44692, ,-128.21,0.50349, 
19,28,468.8, , ,434.8, , 
19,29,-18.8,-0.3652, ,41.54,0.646, 
19,31,506.6,-1.263, ,11.72,0.7004, 
19,33,-211.2, , ,362.6, , 
19,34,11.65,-1.229, ,-1428,7.698, 
19,36,267.1, , ,-144.7, , 
19,37,61.96,-0.4161, ,-19.1,1.195, 
19,39,57.08,-0.7417, ,-160.48,1.0644, 
19,41,-75.67, , ,26.8, , 
19,42,256.2,-1.526,0.001118,1336,-3.395,0.004586
19,43,-28.653,-0.48152, ,56.754,0.89781, 
19,45,237.42,-1.2928, ,-642.44,2.8574, 
19,49,297.646,-0.66206, ,-116.794,0.54754, 
19,56,-50.8443,-0.025287, ,180.813,-0.0641231, 
20,21,27.618, , ,702.4, , 
20,22,94.606, , ,425.97, , 
20,24,701.95,-1.7576, ,213.34,2.1861, 
20,25,-1398.7, , ,1000, , 
20,32,146.06, , ,780.71, , 
20,33,-18.328, , ,753.21, , 
20,37,-447.95,1.5141, ,283.64,1.5491, 
20,39,-421.21, , ,93.773, , 
20,41,-271.176,1.4107, ,218.974,-0.8061, 
20,42,1060,-2.822, ,578.3,1.493, 
20,43,720.45,-1.5187, ,-140.77,0.309, 
20,44,-65.631, , ,-14.016, , 
20,45,508.72,-1.4005, ,-386.93,2.3961, 
20,47,-369.31, , ,-0.29, , 
20,48,-400.86, , ,-244.69, , 
21,22,70.79, , ,-66.21, , 
21,23,592.4,-4.2459,0.0069046,603.29,-3.977,0.0062484
21,24,16.34,0.07287, ,95.05,-0.2348, 
21,25,3985,-15.7, ,15.62,-1.099, 
21,26,24.44,-0.4713, ,142.1,-0.153, 
21,27,1248,-2.04, ,1295,-4.224, 
21,28,295.9, , ,-137.7, , 
21,30,666, , ,-390.6, , 
21,33,128.8,-0.2077, ,-92.68,-0.01307, 
21,37,280, , ,-207.3, , 
21,39,-70.45, , ,-59.29, , 
21,42,-31.42,-0.248, ,370.6,-0.322, 
21,43,-325.77,2.0412, ,70.075,-1.149, 
21,44,530.3, , ,17.052, , 
21,45,207.12,-0.43964, ,-175.29,0.32745, 
21,49,955.8281,-1.00012, ,-151.036,-0.458824, 
21,56,842.486,-1.8434, ,-313.202,0.4139, 
22,23,187.43,-3.446,0.0067179,1468.9,-5,0.003701
22,24,46.29,-0.2115, ,46.03,0.05388, 
22,25,3353,-14.2, ,368.6,-1.748, 
22,26,822.4,-2.05, ,-423.1,0.8154, 
22,30,-174.6, , ,106.3, , 
22,32,132.7,-0.1183, ,-23.81,-0.09203999, 
22,33,-139.6,1.022, ,96.4,-0.776, 
22,35,-178.3,0.7426, ,-39.45,-0.8556, 
22,37,160.7, , ,-135.9, , 
22,39,-147.64, , ,75.45, , 
22,42,10.7,-0.2702, ,224.4,-0.1399, 
22,43,108.83,-0.86059, ,-358.57,1.3307, 
22,45,7.3664,0.40456, ,-1.6641,-0.37825, 
22,48,102.8,-0.0879, ,-446.86,0.4276, 
22,49,-1017.26,3.0909, ,894.509,-2.93164, 
22,56,262.138, , ,-229.081, , 
23,24,-323.17,1.1973, ,350.92,-1.3456, 
23,33,599.82, , ,-364.76, , 
23,37,325.81, , ,-199.87, , 
23,42,289.08,-0.5852, ,-69.60101,-0.4274, 
23,56,401.698, , ,157.634, , 
24,25,-131.8,9.802,-0.03582,972.1,-6.82,0.009219
24,26,441.5,-0.5353, ,-65.74,0.0967, 
24,27,3286, , ,167.5, , 
24,28,9.362,1.033, ,52.01,-0.9095, 
24,30,750.2,0.8165, ,100.5,-0.8269, 
24,32,49.51,0.6829, ,186.4,-0.7294, 
24,33,203.2,-1.328, ,-1360,7.402, 
24,35,325.2,0.4405, ,-60.89,-0.6321, 
24,36,902, , ,-194.9, , 
24,37,220.6,0.3756, ,-134.4,-0.3226, 
24,38,197.4,-0.4858, ,-98.98,-0.02128, 
24,39,512.7,0.02702, ,-168.4,-0.123, 
24,42,-37.183,-0.047827, ,60.78,0.024262, 
24,43,190.45,0.012716, ,-131.87,-0.014204, 
24,45,22.779,0.042145, ,14.947,-0.11086, 
24,49,516.966,0.19471,0.001855,-198.677,0.435084,-0.001271
24,52,1366.3,-3.8385, ,-580.46,1.1653, 
24,56,120.59,1.2816, ,261.15,-0.8815, 
25,26,3986,25, ,3638,-14.25, 
25,27,-184.5,2.2806, ,2926.02,-1.8141, 
25,33,-69.88, , ,981.5, , 
25,39,-12.71,-0.4758, ,472.49,-0.5503, 
25,42,207.16,-1.2206, ,223.782,-0.5826, 
25,43,96.855,-1.2993, ,2991.9,-9.3959, 
25,45,-27.161,0.611, ,4235.3,-16.954, 
25,49,593.203,-0.7904, ,88.32201,0.1605, 
26,27,85.6, , ,986, , 
26,28,68.87,3.217, ,655.7,-2.203, 
26,32,643.8,-0.7376, ,17.81,-0.2245, 
26,33,9.258,-0.1079, ,121.4,0.05397, 
26,34,-70.24, , ,132.2, , 
26,37,159, , ,108.4, , 
26,39,606.9, , ,-340.9, , 
26,42,119.3,-0.5691, ,522.9,-0.2485, 
26,43,53.75, , ,-47.089, , 
26,52,324.62,-1.1828, ,11.442,0.7866, 
27,33,505.4, , ,81.44501, , 
27,42,2004,-4.5, ,2600,-4.8, 
28,32,212.4,-0.3692, ,200.6,-0.228, 
28,37,-93.31,-0.1286, ,319.4,0.03419, 
28,42,29.45,-0.9194, ,92.4,1.191, 
28,43,166.56,-1.0407, ,1.0902,1.5927, 
28,45,89.744,-1.0122, ,40.987,1.1526, 
29,35,467.1, , ,-360, , 
29,39,356.6, , ,-247.6, , 
29,42,-7.465,-0.4151, ,439.73,-0.2619, 
30,37,-277.6, , ,1168, , 
30,42,96.59,-0.7691, ,846.7,0.2545, 
30,44,778.78, , ,-384.29, , 
31,35,-228.4, , ,-47.81, , 
31,39,373.8, , ,-231.6, , 
31,47,-210.34,0.9103, ,106.79,-0.9536999, 
32,33,-536.2,1.995, ,558,-1.924, 
32,45,-47.772,-0.009201, ,92.429,0.17437, 
33,35,-83.7,0.1436, ,-116.7,-0.06775, 
33,41,-378.1,2.56, ,13.78,-0.936, 
33,42,-122.5,0.0913, ,476.9,-0.61, 
33,43,-186.4, , ,265.42, , 
33,56,2459.01, , ,-271.226, , 
34,39,1025, , ,-416.5, , 
35,39,-133.35,0.1022, ,221.74,-0.5021, 
35,45,-322.46,-0.020828, ,67.069,0.23965, 
35,49,-3.44708, , ,-72.16901, , 
36,37,-74.88, , ,1004, , 
36,39,-110.34, , ,97.36, , 
37,39,967.74, , ,-306.22, , 
37,41,-211.1, , ,516.5, , 
37,42,-24.82,-0.5324, ,81.56,0.7293, 
37,43,321.62,-4.9963,0.013871,713.9,-2.7759,0.00091722
37,45,185.82, , ,-139, , 
38,39,190.06, , ,-229.97, , 
38,40,-57.38, , ,110.4, , 
38,42,112.7,-0.4103, ,21.04,-0.1288, 
38,43,-22.572, , ,-7.56, , 
39,42,141.2,-0.8783, ,666.5,-0.1555, 
39,43,53.871,-0.67747, ,-54.26,1.0612, 
39,44,-310.13, , ,-367.48, , 
39,49,-18.3768,-0.450261, ,-2.27584,0.601128, 
40,42,165.6, , ,-109, , 
41,42,683.3,6.321, ,865,-2.89, 
42,43,242.49,-0.038323, ,20.834,-0.34718, 
42,45,183.79,-0.15182, ,-61.922,-0.059442, 
42,46,298.46,-0.6823, ,499.59,-0.8158, 
42,47,2187.67,-1.057, ,165.66,-0.9151, 
42,48,499.19,0.5131, ,148.66,-1.0328, 
42,49,-49.6851,3.86633, ,159.179,-1.11479, 
42,52,313.43,0.0911, ,-30.564,-0.2455, 
42,55,373.49,0.0647, ,75.45,-0.6572, 
42,56,-581.16,4.1194, ,660.47,-2.0132, 
42,61,509.274,-0.533745, ,-108.172,-0.132539, 
42,84,-883.9302,4.0287, ,360.0808,-1.37211, 
42,85,493.7747,-4.10779,0.0119213,986.9591,-2.85003,0.0018563
42,87,-501.6695,1.6261, ,-935.6061,4.67403, 
42,89,-381.9636,-3.00577,0.0076136,2358.513,-1.30922,0.0137839
42,90,-1078.495,3.65154, ,1039.753,-3.51543, 
42,91,1654.642,-4.24837, ,-171.2349,0.62135, 
42,93,246.348,-1.9006, ,1120.89,-3.1028, 
42,98,449.5142,2.1727,0.0360498,4258.272,0.34026,-0.029654
43,45,-523.96,0.4945, ,1414,-2.8776, 
43,56,19.221,0.4413, ,117.208,-0.3946, 
43,84,-617.0431,2.40181, ,-323.6833,-0.13058, 
43,85,826.0889,-0.93908, ,-450.7675,0.94786, 
43,89,580.1045,-2.24427,-0.0080098,4927.307,-0.63511,-0.0351738
43,90,277.9974,0.25973, ,122.9861,-1.96464, 
43,91,-312.4461,1.126, ,186.7351,-0.9786, 
45,56,184.792, , ,-76.1382, , 
46,52,-1423.7,3.9162, ,1738.5,-3.9729, 
47,48,-91.65,-0.3411, ,117.57,0.7114, 
47,49,-188.913, , ,308.235, , 
53,56,912.2161,-2.02314, ,-604.897,1.04748, 
55,56,-9.63211,0.555403,-0.000065,125.526,0.289226,-0.000969
56,61,200.04,0.1979,-0.0016,742.31,-4.1234,0.0078
84,85,-103.0519,-1.42845,0.0094424,283.1673,-5.14586,0.0208006
84,89,-107.3735,-3.90856,0.0005537,1094.895,-4.10982,0.0000263
84,91,133.3952,-2.64806,-0.0025991,-591.0368,0.45605,-0.0035024
84,98,-113.0145,-1.48378, ,-35.932,-1.52136, 
84,99,4542.127,0.85207,-0.0518203,-4116.333,-1.71395,-0.0073933
85,87,-1403.31,-4.02583,0.0382461,-516.843,-3.5941,0.0160959
85,90,855.7144,-1.14021, ,-254.6989,-0.46519, 
87,91,-1138.034,0.70013, ,1824.841,-4.26948, 
89,90,-1679.977,4.40837,-0.0092342,4209.48,-0.75036,-0.0356672
